ATYPIDAE,Atypus,affinis,Eichwald, 1830 E S W RI NS 
LINYPHIIDAE,Pelecopsis,radicicola,(L. Koch, 1872) E NR E 
LINYPHIIDAE,Pelecopsis,susannae,(Simon, 1914) Not present Not present E 
LINYPHIIDAE,Parapelecopsis,nemoralis,(Blackwall, 1841) Pelecopsis nemoralis Pelecopsis nemoralis E S W NI RI 
LINYPHIIDAE,Parapelecopsis,nemoralioides,(O. P.-Cambridge, 1884) Pelecopsis nemoralioides Not present E S W RI NS 
LINYPHIIDAE,Silometopus,elegans,(O. P.-Cambridge, 1872) E S W NI RI 
LINYPHIIDAE,Silometopus,ambiguus,(O. P.-Cambridge, 1905) E S W NI RI NS 
LINYPHIIDAE,Silometopus,reussi,(Thorell, 1871) E S W NI RI 
LINYPHIIDAE,Silometopus,incurvatus,(O. P.-Cambridge, 1873) E S RI NR V 
LINYPHIIDAE,Mecopisthes,peusi,Wunderlich, 1972 E S W NI RI NS 
LINYPHIIDAE,Cnephalocotes,obscurus,(Blackwall, 1834) E S W NI RI 
LINYPHIIDAE,Acartauchenius,scurrilis,(O. P.-Cambridge, 1872) E NR NT 
LINYPHIIDAE,Trichoncus,saxicola,(O. P.-Cambridge, 1861) E S RI NR V 
LINYPHIIDAE,Trichoncus,hackmani,Millidge, 1955 E NR V 
LINYPHIIDAE,Trichoncus,affinis,Kulczyñski, 1894 E NR 
LINYPHIIDAE,Styloctetor,romanus,(O. P.-Cambridge, 1873) Ceratinopsis romana Ceratinopsis romana E W NR 
LINYPHIIDAE,Styloctetor,compar,(Westring, 1861) Ceratinopsis stativa Ceratinopsis stativa E W RI NS 
LINYPHIIDAE,Evansia,merens,O. P.-Cambridge, 1900 E S W RI NS 
LINYPHIIDAE,Tiso,vagans,(Blackwall, 1834) E S W NI RI 
LINYPHIIDAE,Tiso,aestivus,(L. Koch, 1872) E S W NS 
LINYPHIIDAE,Troxochrus,scabriculus,(Westring, 1851) E S W RI 
LINYPHIIDAE,Minyriolus,pusillus,(Wider, 1834) E S W NI RI 
LINYPHIIDAE,Tapinocyba,praecox,(O. P.-Cambridge, 1873) E S W NI RI 
LINYPHIIDAE,Tapinocyba,pallens,(O. P.-Cambridge, 1872) E S W NI RI 
LINYPHIIDAE,Tapinocyba,insecta,(L. Koch, 1869) E S W NI RI NS 
LINYPHIIDAE,Tapinocyba,mitis,(O. P.-Cambridge, 1882) E NR E 
LINYPHIIDAE,Tapinocyboides,pygmaeus,(Menge, 1869) E S NR DD 
LINYPHIIDAE,Microctenonyx,subitaneus,(O. P.-Cambridge, 1875) E S W NI RI NS 
LINYPHIIDAE,Satilatlas,britteni,(Jackson, 1913) E S W NI RI NS 
LINYPHIIDAE,Thyreosthenius,parasiticus,(Westring, 1851) E S W NI RI 
LINYPHIIDAE,Thyreosthenius,biovatus,(O. P.-Cambridge, 1875) E S W RI NS 
LINYPHIIDAE,Monocephalus,fuscipes,(Blackwall, 1836) E S W NI RI 
LINYPHIIDAE,Monocephalus,castaneipes,(Simon, 1884) E S W NI RI NS 
